type	time	elb	client:port	target:port	request_processing_time	target_processing_time	response_processing_time	elb_status_code	target_status_code	received_bytes	sent_bytes	request	user_agent	ssl_cipher	ssl_protocol	target_group_arn	trace_id	domain_name	chosen_cert_arn	matched_rule_priority	request_creation_time	actions_executed	redirect_url	error_reason	target:port_list	target_status_code_list	classification	classification_reason
http	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0	10.001	0	200	200	34	366	"GET	http://www.example.com:80/	HTTP/1.1"	curl/7.46.0	-	-	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337262-36d228ad5d99923122bbe354	-	-	0	2018-07-02T22:22:48.364000Z	forward	-	-	10.0.0.1:80	200	-	-
https	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0.086	20.048	0.037	200	200	0	57	"GET	https://www.example.com:443/	HTTP/1.1"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337281-1d84f3d73c47ec4e58577259	www.example.com	arn:aws:acm:us-east-2:123456789012:certificate/12345678-1234-1234-1234-1234567890121	1	2018-07-02T22:22:48.364000Z	authenticate,forward	-	-	10.0.0.1:80	200	-	-
h2	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	10.0.1.252:48160	10.0.0.66:9000	0	30.002	0	200	200	5	257	"GET	https://10.0.2.105:773/	HTTP/2.0"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337327-72bd00b0343d75b906739c42	-	-	1	2018-07-02T22:22:48.364000Z	redirect	https://example.com:80/	-	10.0.0.66:9000	200	-	-
http	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0	11.001	0	200	200	34	366	"GET	http://www.example.com:80/	HTTP/1.1"	curl/7.46.0	-	-	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337262-36d228ad5d99923122bbe354	-	-	0	2018-07-02T22:22:48.364000Z	forward	-	-	10.0.0.1:80	200	-	-
https	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0.086	21.048	0.037	200	200	0	57	"GET	https://www.example.com:443/	HTTP/1.1"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337281-1d84f3d73c47ec4e58577259	www.example.com	arn:aws:acm:us-east-2:123456789012:certificate/12345678-1234-1234-1234-1234567890121	1	2018-07-02T22:22:48.364000Z	authenticate,forward	-	-	10.0.0.1:80	200	-	-
h2	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	10.0.1.252:48160	10.0.0.66:9000	0	31.002	0	200	200	5	257	"GET	https://10.0.2.105:773/	HTTP/2.0"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337327-72bd00b0343d75b906739c42	-	-	1	2018-07-02T22:22:48.364000Z	redirect	https://example.com:80/	-	10.0.0.66:9000	200	-	-
http	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0	0.001	0	200	200	34	366	"GET	http://www.example.com:80/	HTTP/1.1"	curl/7.46.0	-	-	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337262-36d228ad5d99923122bbe354	-	-	0	2018-07-02T22:22:48.364000Z	forward	-	-	10.0.0.1:80	200	-	-
https	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0.086	0.048	0.037	200	200	0	57	"GET	https://www.example.com:443/	HTTP/1.1"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337281-1d84f3d73c47ec4e58577259	www.example.com	arn:aws:acm:us-east-2:123456789012:certificate/12345678-1234-1234-1234-1234567890121	1	2018-07-02T22:22:48.364000Z	authenticate,forward	-	-	10.0.0.1:80	200	-	-
h2	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	10.0.1.252:48160	10.0.0.66:9000	0	0.002	0	200	200	5	257	"GET	https://10.0.2.105:773/	HTTP/2.0"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337327-72bd00b0343d75b906739c42	-	-	1	2018-07-02T22:22:48.364000Z	redirect	https://example.com:80/	-	10.0.0.66:9000	200	-	-
http	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0	0.001	0	200	200	34	366	"GET	http://www.example.com:80/	HTTP/1.1"	curl/7.46.0	-	-	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337262-36d228ad5d99923122bbe354	-	-	0	2018-07-02T22:22:48.364000Z	forward	-	-	10.0.0.1:80	200	-	-
https	2018-07-02T22:23:00.186641Z	app/my-loadbalancer/50dc6c495c0c9188	192.168.131.39:2817	10.0.0.1:80	0.086	0.048	0.037	200	200	0	57	"GET	https://www.example.com:443/	HTTP/1.1"	curl/7.46.0	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2	arn:aws:elasticloadbalancing:us-east-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067	Root=1-58337281-1d84f3d73c47ec4e58577259	www.example.com	arn:aws:acm:us-east-2:123456789012:certificate/12345678-1234-1234-1234-1234567890121	1	2018-07-02T22:22:48.364000Z	authenticate,forward	-	-	10.0.0.1:80	200	-	-
